,id,English Name,Genus,Location,Latitude,Longitude,Quality Score,Author Remarks,Recording Type,MP3 Download URL,Recording Name
485,144750,Evening Grosbeak,Hesperiphona,"Tillamook, Tillamook, Oregon",45.4234,-123.8951,B,First responded to Northern Pygmy-Owl but was brought in closer with playback form recording on Bird Songs of the Pacific Northwest. A single bird gave all these vocalizations (burry notes between loud pure calls) while perched atop a tree. Recorded with Olympus LS-11 using internal mic.,call,//www.xeno-canto.org/144750/download,144750.mp3
486,436818,Evening Grosbeak,Hesperiphona,"Reehers Camp, Timber, Washington County, Oregon",45.7071,-123.3333,C,Recording amplified. High pass filter.,call,//www.xeno-canto.org/436818/download,436818.mp3
487,558034,Evening Grosbeak,Hesperiphona,"Reedsford Road, Myrtle Point, Coos County, Oregon",43.0618,-124.1474,D,"Recorded as video with a Nikon D3400 DSLR camera and converted to mp3 and amplified using *Audacity*. There is a domestic guinea fowl calling in the foreground obscuring the grosbeak calls. There is one clear grosbeak call note after the 0:04 timestamp.

There was a flock of 9 grosbeaks (mixed male and female) in a tree along the Coquille River bank. They were calling from the tree in the recording and continued to call as they flew off.","adult, call, sex uncertain",//www.xeno-canto.org/558034/download,558034.mp3
488,534253,Purple Finch,Haemorhous,"2310 North Wygant Street, North Portland, Multnomah County, Oregon",45.5575,-122.6912,no score,,"adult, female, song",//www.xeno-canto.org/534253/download,534253.mp3
489,534251,Purple Finch,Haemorhous,"2310 North Wygant Street, North Portland, Multnomah County, Oregon",45.5575,-122.6912,no score,,"adult, female, song",//www.xeno-canto.org/534251/download,534251.mp3
490,534250,Purple Finch,Haemorhous,"2310 North Wygant Street, North Portland, Multnomah County, Oregon",45.5575,-122.6912,no score,,"adult, female, song",//www.xeno-canto.org/534250/download,534250.mp3
491,534249,Purple Finch,Haemorhous,"2310 North Wygant Street, North Portland, Multnomah County, Oregon",45.5575,-122.6912,no score,,"adult, female, song",//www.xeno-canto.org/534249/download,534249.mp3
492,534247,Purple Finch,Haemorhous,"William Finley NWR, Cabell Marsh Overlook, Benton County, Oregon",44.4176,-123.3243,no score,,"adult, female, song",//www.xeno-canto.org/534247/download,534247.mp3
493,534246,Purple Finch,Haemorhous,"William Finley NWR, Cabell Marsh Overlook, Benton County, Oregon",44.4176,-123.3243,no score,,"adult, female, song",//www.xeno-canto.org/534246/download,534246.mp3
494,534245,Purple Finch,Haemorhous,"William Finley NWR, Cabell Marsh Overlook, Benton County, Oregon",44.4176,-123.3243,no score,,"adult, female, song",//www.xeno-canto.org/534245/download,534245.mp3
